,glob_idle_dist_to_queued_dem_avg
0,23.628084606345475
1,23.870438567124204
2,24.35292107960369
3,24.245794899620183
4,23.957651044607566
5,23.82387668087898
6,24.115537848605577
7,24.491198658843253
8,23.760824742268042
9,24.00254560882478
10,24.046660769570988
11,23.91576784797124
12,23.77482088024565
13,24.022392457277547
14,24.049714751426244
15,24.162358276643992
16,24.08695652173913
17,24.4566098945661
18,23.886730325979585
19,23.905598570577723
20,23.839531329597555
21,24.294299287410926
22,24.222827432532807
23,23.868294635708565
24,23.65380313199105
25,24.18191632928475
26,24.051783659378597
27,23.728692257644763
28,24.31726230613621
29,23.877140729709605
30,24.151265959748972
31,24.003177966101696
32,23.904182509505702
33,24.500647388864913
34,24.40864197530864
35,24.148671565856414
36,23.9691091954023
37,23.79274193548387
38,23.89667994687915
39,23.780707196029777
40,24.699082568807338
41,23.466145833333332
42,24.119967466449776
43,23.899501342539317
44,24.180314136125656
45,24.397513952308472
46,24.070265978562922
47,24.007858546168958
48,24.353306342780026
49,24.105656848994858
50,23.82563595949617
51,23.098325229605617
52,23.977055449330784
53,24.257678500199443
54,23.93193193193193
55,23.94370602032838
56,23.722339974565493
57,23.996345363179532
58,24.327606177606178
59,24.33920704845815
60,23.66488326848249
61,24.030835284933644
62,23.80438184663537
63,23.803535010197145
64,23.7297157622739
65,23.982750995134896
66,24.343654434250766
67,24.313703703703705
68,23.483390119250426
69,24.069251159708415
70,24.070713809206136
71,23.36873156342183
72,24.12445358704037
73,23.26558265582656
74,24.05764411027569
75,24.15809523809524
76,23.996676636756398
77,24.06789827255278
78,23.958793969849246
79,23.747348119575697
80,23.92139584067677
81,24.05506692160612
82,23.847098214285715
83,23.97537265068049
84,24.166262556286803
85,23.79705744978982
86,24.012861736334404
87,24.26126126126126
88,23.554113418530353
89,24.181893004115228
90,23.754452444107617
91,24.13820105820106
92,24.027151211361737
93,23.91680155390094
94,23.686160552124953
95,23.287549407114625
96,24.293706293706293
97,23.737519300051467
98,24.053097345132745
99,24.270408163265305
100,24.246801127738017
101,23.683778234086244
102,24.08739406779661
103,23.971399387129726
104,24.19520130134201
105,24.142702312138727
106,23.667730061349694
107,23.972477064220183
108,23.62320951687303
109,24.19365843869155
110,23.941732283464567
111,24.090872210953346
112,24.223742061553494
113,23.77765194412986
114,24.14
115,23.919068056407113
116,23.71650998824912
117,24.075607560756076
118,23.778215223097114
119,24.129460797082572
120,24.398857895892817
121,24.002818733738074
122,24.195389681668495
123,23.778019248680533
124,24.173387096774192
125,23.705882352941178
126,24.258016032064127
127,24.17562254259502
128,23.872042269699058
129,24.019893255701117
130,24.065756378009343
131,24.127982646420826
132,24.112273212379936
133,24.286977737114974
134,23.936985172981878
135,24.34726131197229
136,24.221818181818183
137,23.783362901636114
138,23.842794759825328
139,24.008347245409016
140,24.140629971364937
141,24.003595505617977
142,23.535211267605632
143,24.379431242695755
144,23.967431532198372
145,24.32164421737111
146,23.6200840015273
147,24.125714285714285
148,23.87323943661972
149,24.168134171907756
150,23.92861126603458
151,24.062317429406036
152,24.519435975609756
153,24.303312629399585
154,23.93708938881147
155,24.191656441717793
156,24.427099044746104
157,24.20257942749292
158,23.991109913793103
159,24.06338329764454
160,24.055517788352596
161,23.210227272727273
162,23.636857707509883
163,24.486732373009858
164,23.97067220347781
165,23.925338189386057
166,24.03174603174603
167,23.995352439969015
168,23.951680672268907
169,23.825949367088608
170,24.20186697782964
171,24.016338779593198
172,23.685461323392357
173,24.104565885971137
174,24.605646630236794
175,24.082860385925084
176,23.872822299651567
177,24.148496240601503
178,23.65215163934426
179,23.89169169169169
180,24.33752327746741
181,23.95413936867183
182,24.041173443129182
183,24.169804861348855
184,24.263157894736842
185,24.060233918128656
186,24.174052665382145
187,23.919153868443928
188,24.084711343196982
189,24.139261744966444
190,23.787370103916867
191,24.19411408990123
192,24.27898236484533
193,24.579268292682926
194,24.299547511312216
195,24.299779804970118
196,24.029445073612685
197,25.03637901861252
198,24.318670576735094
199,23.64512674044984
